Attachmentname,Slot,WeaponUnlock,Points
Single-Port Brake,Muzzle,P18,10
Standard Suppressor,Muzzle,P18,20
Iron Sights,Scope,P18,5
R-MR 1.00X,Scope,P18,10
MINI FLEX 1.00X,Scope,P18,10
CQ RDS 1.25X,Scope,P18,10
RO-S 1.25X,Scope,P18,10
ROX 1.50X,Scope,P18,10
A-P2 1.75X,Scope,P18,10
5 MW Green,Underbarrel,P18,10
5 MW Red,Underbarrel,P18,10
50 MW Green,Underbarrel,P18,20
Flashlight,Underbarrel,P18,10
Laser/Light Combo Green,Underbarrel,P18,20
Laser/Light Combo Red,Underbarrel,P18,20
FMJ,Ammunition,PSR,5
Tungsten Core,Ammunition,PSR,5
Match Grade,Ammunition,PSR,10
Frangible,Ammunition,PSR,20
"26"" Factory",Barrel,PSR,10
"27"" MK22",Barrel,PSR,15
Improved Mag Catch,Ergonomics,PSR,5
DLC Bolt,Ergonomics,PSR,30
Flashlight,Left Accessory,PSR,10
Range Finder,Left Accessory,PSR,15
10RND Magazine,Magazine,PSR,5
7RND Magazine,Magazine,PSR,5
Compensated Brake,Muzzle,PSR,20
CQB Suppressor,Muzzle,PSR,30
Double-Port Brake,Muzzle,PSR,10
Flash Hider,Muzzle,PSR,10
Lightened Suppressor,Muzzle,PSR,30
Long Suppressor,Muzzle,PSR,25
Single-Port Brake,Muzzle,PSR,5
Standard Suppressor,Muzzle,PSR,20
Canted Iron Sights,Optic Accessory,PSR,5
Adjustable Magnification 2.00X,Optic Accessory,PSR,10
Adjustable Magnification 3.00X,Optic Accessory,PSR,10
Adjustable Magnification 4.00X,Optic Accessory,PSR,10
Anti-Glare Coating,Optic Accessory,PSR,10
Iron Sights,Scope,PSR,15
MINI FLEX 1.00X,Scope,PSR,10
R-MR 1.00X,Scope,PSR,10
OSA-7 1.00x,Scope,PSR,10
CQ RDS 1.25X,Scope,PSR,10
RO-S 1.25X,Scope,PSR,10
2PRO 1.25X,Scope,PSR,10
ROX 1.50X,Scope,PSR,10
SU-123 1.50X,Scope,PSR,10
1P87 1.50X,Scope,PSR,10
A-P2 1.75X,Scope,PSR,10
RO-M 1.75x,Scope,PSR,10
3VZR 1.75X,Scope,PSR,10
CCO 2.00x,Scope,PSR,10
R4T 2.00X,Scope,PSR,10
BF-2M 2.50x,Scope,PSR,10
BAKER 3.00X,Scope,PSR,10
SDO 3.50X,Scope,PSR,10
PVQ-31 4.00x,Scope,PSR,10
LDS 4.50X,Scope,PSR,10
ST PRISIM 5.00X,Scope,PSR,10
SF-G2 5.00X,Scope,PSR,10
S-VPS 6.00X,Scope,PSR,10
SSDS 6.00X,Scope,PSR,10
NFX 8.00X,Scope,PSR,10
LERT 8.00X,Scope,PSR,10
R-VPS 10.00X,Scope,PSR,10
NGFC LPVO,Scope,PSR,25
MC-CO LPVO,Scope,PSR,25
DVO LPVO,Scope,PSR,25
SM RIFLE VARIABLE,Scope,PSR,25
1P88 VARIABLE,Scope,PSR,25
GRIM 1.50X,Scope,PSR,25
PAS-35 3.00X,Scope,PSR,25
TS-HD 6.00X,Scope,PSR,25
5 MW Red,Top Accessory,PSR,10
5 MW Green,Top Accessory,PSR,10
50 MW Green,Top Accessory,PSR,20
50 MW Blue,Top Accessory,PSR,20
120 MW Blue,Top Accessory,PSR,30
Bipod,Underbarrel,PSR,10
Classic Grip Pod,Underbarrel,PSR,20
Full Angled,Underbarrel,PSR,5
Low-Profile Stubby,Underbarrel,PSR,10
QD Grip Pod,Underbarrel,PSR,10
Slim Angled,Underbarrel,PSR,15
FMJ,Ammunition,PW5A3,5
Tungsten Core,Ammunition,PW5A3,5
Hollow Point,Ammunition,PW5A3,20
Frangible,Ammunition,PW5A3,20
Synthetic Tip,Ammunition,PW5A3,30
225MM Factory,Barrel,PW5A3,10
245MM Custom,Barrel,PW5A3,15
Improved Mag Catch,Ergonomics,PW5A3,5
Flashlight,Left Accessory,PW5A3,10
20RND Magazine,Magazine,PW5A3,5
30RND Fast Mag,Magazine,PW5A3,10
30RND Magazine,Magazine,PW5A3,5
40RND Magazine,Magazine,PW5A3,25
Compensated Brake,Muzzle,PW5A3,20
CQB Suppressor,Muzzle,PW5A3,30
Double-Port Brake,Muzzle,PW5A3,10
Flash Hider,Muzzle,PW5A3,10
Lightened Suppressor,Muzzle,PW5A3,30
Linear Comp,Muzzle,PW5A3,10
Long Suppressor,Muzzle,PW5A3,25
Standard Suppressor,Muzzle,PW5A3,20
Canted Iron Sights,Optic Accessory,PW5A3,5
Canted Reflex,Optic Accessory,PW5A3,10
5 MW Red,Right Accessory,PW5A3,10
5 MW Green,Right Accessory,PW5A3,10
50 MW Green,Right Accessory,PW5A3,20
50 MW Blue,Right Accessory,PW5A3,20
120 MW Blue,Right Accessory,PW5A3,30
Iron Sights,Scope,PW5A3,5
MINI FLEX 1.00X,Scope,PW5A3,10
R-MR 1.00X,Scope,PW5A3,10
OSA-7 1.00x,Scope,PW5A3,10
CQ RDS 1.25X,Scope,PW5A3,10
RO-S 1.25X,Scope,PW5A3,10
2PRO 1.25X,Scope,PW5A3,10
ROX 1.50X,Scope,PW5A3,10
SU-123 1.50X,Scope,PW5A3,10
1P87 1.50X,Scope,PW5A3,10
A-P2 1.75X,Scope,PW5A3,10
RO-M 1.75x,Scope,PW5A3,10
3VZR 1.75X,Scope,PW5A3,10
CCO 2.00x,Scope,PW5A3,10
R4T 2.00X,Scope,PW5A3,10
BF-2M 2.50x,Scope,PW5A3,10
BAKER 3.00X,Scope,PW5A3,10
SDO 3.50X,Scope,PW5A3,10
PVQ-31 4.00x,Scope,PW5A3,10
LDS 4.50X,Scope,PW5A3,10
ST PRISIM 5.00X,Scope,PW5A3,10
SF-G2 5.00X,Scope,PW5A3,10
MARS-F LPVO,Scope,PW5A3,25
GRIM 1.50X,Scope,PW5A3,25
PAS-35 3.00X,Scope,PW5A3,25
6H64 Vertical,Underbarrel,PW5A3,25
Alloy Vertical,Underbarrel,PW5A3,20
Canted Stubby,Underbarrel,PW5A3,30
Classic Vertical,Underbarrel,PW5A3,35
Compact Handstop,Underbarrel,PW5A3,10
Folding Stubby,Underbarrel,PW5A3,20
Folding Vertical,Underbarrel,PW5A3,10
Low-Profile Stubby,Underbarrel,PW5A3,45
Ribbed Stubby,Underbarrel,PW5A3,30
Ribbed Vertical,Underbarrel,PW5A3,20
Slim Angled,Underbarrel,PW5A3,20
Stippled Stubby,Underbarrel,PW5A3,35
FMJ,Ammunition,PW7A2,5
Tungsten Core,Ammunition,PW7A2,5
Hollow Point,Ammunition,PW7A2,20
Frangible,Ammunition,PW7A2,20
Synthetic Tip,Ammunition,PW7A2,30
180MM Standard,Barrel,PW7A2,10
180MM Prototype,Barrel,PW7A2,10
Improved Mag Catch,Ergonomics,PW7A2,5
Flashlight,Left Accessory,PW7A2,10
20RND Magazine,Magazine,PW7A2,5
30RND Fast Mag,Magazine,PW7A2,10
30RND Magazine,Magazine,PW7A2,5
40RND Magazine,Magazine,PW7A2,25
Compensated Brake,Muzzle,PW7A2,20
CQB Suppressor,Muzzle,PW7A2,30
Double-Port Brake,Muzzle,PW7A2,10
Flash Hider,Muzzle,PW7A2,10
Lightened Suppressor,Muzzle,PW7A2,30
Linear Comp,Muzzle,PW7A2,10
Long Suppressor,Muzzle,PW7A2,25
Single-Port Brake,Muzzle,PW7A2,5
Standard Suppressor,Muzzle,PW7A2,20
Canted Iron Sights,Optic Accessory,PW7A2,5
Canted Reflex,Optic Accessory,PW7A2,10
5 MW Red,Right Accessory,PW7A2,10
5 MW Green,Right Accessory,PW7A2,10
50 MW Green,Right Accessory,PW7A2,20
50 MW Blue,Right Accessory,PW7A2,20
120 MW Blue,Right Accessory,PW7A2,30
Iron Sights,Scope,PW7A2,5
MINI FLEX 1.00X,Scope,PW7A2,10
R-MR 1.00X,Scope,PW7A2,10
OSA-7 1.00x,Scope,PW7A2,10
CQ RDS 1.25X,Scope,PW7A2,10
RO-S 1.25X,Scope,PW7A2,10
2PRO 1.25X,Scope,PW7A2,10
ROX 1.50X,Scope,PW7A2,10
SU-123 1.50X,Scope,PW7A2,10
1P87 1.50X,Scope,PW7A2,10
A-P2 1.75X,Scope,PW7A2,10
RO-M 1.75x,Scope,PW7A2,10
3VZR 1.75X,Scope,PW7A2,10
CCO 2.00x,Scope,PW7A2,10
R4T 2.00X,Scope,PW7A2,10
BF-2M 2.50x,Scope,PW7A2,10
BAKER 3.00X,Scope,PW7A2,10
SDO 3.50X,Scope,PW7A2,10
PVQ-31 4.00x,Scope,PW7A2,10
LDS 4.50X,Scope,PW7A2,10
ST PRISIM 5.00X,Scope,PW7A2,10
SF-G2 5.00X,Scope,PW7A2,10
MARS-F LPVO,Scope,PW7A2,25
GRIM 1.50X,Scope,PW7A2,25
PAS-35 3.00X,Scope,PW7A2,25
6H64 Vertical,Underbarrel,PW7A2,25
Alloy Vertical,Underbarrel,PW7A2,20
Canted Stubby,Underbarrel,PW7A2,30
Classic Vertical,Underbarrel,PW7A2,35
Compact Handstop,Underbarrel,PW7A2,10
Folding Stubby,Underbarrel,PW7A2,20
Folding Vertical,Underbarrel,PW7A2,10
Low-Profile Stubby,Underbarrel,PW7A2,45
Ribbed Stubby,Underbarrel,PW7A2,30
Ribbed Vertical,Underbarrel,PW7A2,20
Slim Angled,Underbarrel,PW7A2,20
Stippled Stubby,Underbarrel,PW7A2,35
FMJ,Ammunition,QBZ-192,5
Tungsten Core,Ammunition,QBZ-192,5
Polymer Case,Ammunition,QBZ-192,10
Hollow Point,Ammunition,QBZ-192,20
Frangible,Ammunition,QBZ-192,20
Synthetic Tip,Ammunition,QBZ-192,30
"10.5"" Factory",Barrel,QBZ-192,10
"14.5"" Common",Barrel,QBZ-192,15
Match Trigger,Ergonomics,QBZ-192,15
30RND Fast Mag,Magazine,QBZ-192,10
30RND Magazine,Magazine,QBZ-192,5
36RND Magazine,Magazine,QBZ-192,15
40RND Magazine,Magazine,QBZ-192,25
Flash Hider,Muzzle,QBZ-192,10
Linear Comp,Muzzle,QBZ-192,10
Standard Suppressor,Muzzle,QBZ-192,20
Canted Iron Sights,Optic Accessory,QBZ-192,5
Canted Reflex,Optic Accessory,QBZ-192,10
Flashlight,Right Accessory,QBZ-192,10
Iron Sights,Scope,QBZ-192,5
MINI FLEX 1.00X,Scope,QBZ-192,10
R-MR 1.00X,Scope,QBZ-192,10
OSA-7 1.00x,Scope,QBZ-192,10
CQ RDS 1.25X,Scope,QBZ-192,10
RO-S 1.25X,Scope,QBZ-192,10
2PRO 1.25X,Scope,QBZ-192,10
ROX 1.50X,Scope,QBZ-192,10
SU-123 1.50X,Scope,QBZ-192,10
1P87 1.50X,Scope,QBZ-192,10
A-P2 1.75X,Scope,QBZ-192,10
RO-M 1.75x,Scope,QBZ-192,10
3VZR 1.75X,Scope,QBZ-192,10
CCO 2.00x,Scope,QBZ-192,10
R4T 2.00X,Scope,QBZ-192,10
BF-2M 2.50x,Scope,QBZ-192,10
BAKER 3.00X,Scope,QBZ-192,10
SDO 3.50X,Scope,QBZ-192,10
PVQ-31 4.00x,Scope,QBZ-192,10
LDS 4.50X,Scope,QBZ-192,10
ST PRISIM 5.00X,Scope,QBZ-192,10
SF-G2 5.00X,Scope,QBZ-192,10
GRIM 1.50X,Scope,QBZ-192,25
PAS-35 3.00X,Scope,QBZ-192,25
MARS-F LPVO,Scope,QBZ-192,25
5 MW Red,Top Accessory,QBZ-192,10
5 MW Green,Top Accessory,QBZ-192,10
50 MW Green,Top Accessory,QBZ-192,20
50 MW Blue,Top Accessory,QBZ-192,20
120 MW Blue,Top Accessory,QBZ-192,30
6H64 Vertical,Underbarrel,QBZ-192,25
Adjustable Angled,Underbarrel,QBZ-192,15
Alloy Vertical,Underbarrel,QBZ-192,20
Canted Stubby,Underbarrel,QBZ-192,30
Classic Grip Pod,Underbarrel,QBZ-192,30
Classic Vertical,Underbarrel,QBZ-192,35
Folding Stubby,Underbarrel,QBZ-192,20
Folding Vertical,Underbarrel,QBZ-192,10
Full Angled,Underbarrel,QBZ-192,25
Low-Profile Stubby,Underbarrel,QBZ-192,45
PTT Grip Pod,Underbarrel,QBZ-192,20
QD Grip Pod,Underbarrel,QBZ-192,30
Ribbed Stubby,Underbarrel,QBZ-192,30
Ribbed Vertical,Underbarrel,QBZ-192,20
Slim Angled,Underbarrel,QBZ-192,25
Stippled Stubby,Underbarrel,QBZ-192,35
FMJ,Ammunition,RPKM,5
Tungsten Core,Ammunition,RPKM,5
Polymer Case,Ammunition,RPKM,10
Hollow Point,Ammunition,RPKM,20
Frangible,Ammunition,RPKM,20
Synthetic Tip,Ammunition,RPKM,30
521MM Boar-F,Barrel,RPKM,10
521MM Boar,Barrel,RPKM,10
590MM Factory,Barrel,RPKM,10
600MM Tabuk,Barrel,RPKM,15
419MM Boar-F,Barrel,RPKM,15
Magwell Flare,Ergonomics,RPKM,10
Match Trigger,Ergonomics,RPKM,15
Flashlight,Left Accessory,RPKM,10
30RND Fast Mag,Magazine,RPKM,10
30RND Magazine,Magazine,RPKM,5
36RND Magazine,Magazine,RPKM,5
40RND Fast Mag,Magazine,RPKM,10
40RND Magazine,Magazine,RPKM,5
60RND Magazine,Magazine,RPKM,30
75RND Drum,Magazine,RPKM,50
Compensated Brake,Muzzle,RPKM,20
CQB Suppressor,Muzzle,RPKM,30
Double-Port Brake,Muzzle,RPKM,10
Flash Hider,Muzzle,RPKM,10
Lightened Suppressor,Muzzle,RPKM,30
Linear Comp,Muzzle,RPKM,10
Long Suppressor,Muzzle,RPKM,25
Slant Brake,Muzzle,RPKM,5
Standard Suppressor,Muzzle,RPKM,20
Canted Iron Sights,Optic Accessory,RPKM,5
Canted Reflex,Optic Accessory,RPKM,10
Piggyback Reflex,Optic Accessory,RPKM,10
5 MW Red,Right Accessory,RPKM,10
5 MW Green,Right Accessory,RPKM,10
50 MW Green,Right Accessory,RPKM,20
50 MW Blue,Right Accessory,RPKM,20
120 MW Blue,Right Accessory,RPKM,30
Iron Sights,Scope,RPKM,5
MINI FLEX 1.00X,Scope,RPKM,10
R-MR 1.00X,Scope,RPKM,10
OSA-7 1.00x,Scope,RPKM,10
CQ RDS 1.25X,Scope,RPKM,10
RO-S 1.25X,Scope,RPKM,10
2PRO 1.25X,Scope,RPKM,10
ROX 1.50X,Scope,RPKM,10
SU-123 1.50X,Scope,RPKM,10
1P87 1.50X,Scope,RPKM,10
A-P2 1.75X,Scope,RPKM,10
RO-M 1.75x,Scope,RPKM,10
3VZR 1.75X,Scope,RPKM,10
CCO 2.00x,Scope,RPKM,10
R4T 2.00X,Scope,RPKM,10
BF-2M 2.50x,Scope,RPKM,10
BAKER 3.00X,Scope,RPKM,10
SDO 3.50X,Scope,RPKM,10
PVQ-31 4.00x,Scope,RPKM,10
LDS 4.50X,Scope,RPKM,10
ST PRISIM 5.00X,Scope,RPKM,10
SF-G2 5.00X,Scope,RPKM,10
MARS-F LPVO,Scope,RPKM,25
MC-CO LPVO,Scope,RPKM,25
DVO LPVO,Scope,RPKM,25
GRIM 1.50X,Scope,RPKM,25
PAS-35 3.00X,Scope,RPKM,25
6H64 Vertical,Underbarrel,RPKM,25
Adjustable Angled,Underbarrel,RPKM,15
Alloy Vertical,Underbarrel,RPKM,20
Bipod,Underbarrel,RPKM,10
Canted Stubby,Underbarrel,RPKM,30
Classic Grip Pod,Underbarrel,RPKM,30
Classic Vertical,Underbarrel,RPKM,35
Folding Stubby,Underbarrel,RPKM,20
Folding Vertical,Underbarrel,RPKM,10
Full Angled,Underbarrel,RPKM,25
Low-Profile Stubby,Underbarrel,RPKM,45
PTT Grip Pod,Underbarrel,RPKM,20
QD Grip Pod,Underbarrel,RPKM,30
Ribbed Stubby,Underbarrel,RPKM,30
Ribbed Vertical,Underbarrel,RPKM,20
Slim Angled,Underbarrel,RPKM,25
Stippled Stubby,Underbarrel,RPKM,35
FMJ,Ammunition,SCW-10,5
Tungsten Core,Ammunition,SCW-10,5
Hollow Point,Ammunition,SCW-10,20
Frangible,Ammunition,SCW-10,20
"6.8"" Factory",Barrel,SCW-10,10
Extended Barrel,Barrel,SCW-10,15
"6.8"" Fluted",Barrel,SCW-10,20
Improved Mag Catch,Ergonomics,SCW-10,5
15RND Fast Mag,Magazine,SCW-10,10
15RND Magazine,Magazine,SCW-10,5
20RND Magazine,Magazine,SCW-10,20
25RND Magazine,Magazine,SCW-10,45
Compensated Brake,Muzzle,SCW-10,20
CQB Suppressor,Muzzle,SCW-10,30
Double-Port Brake,Muzzle,SCW-10,10
Flash Hider,Muzzle,SCW-10,10
Lightened Suppressor,Muzzle,SCW-10,30
Linear Comp,Muzzle,SCW-10,10
Long Suppressor,Muzzle,SCW-10,25
Standard Suppressor,Muzzle,SCW-10,20
Canted Iron Sights,Optic Accessory,SCW-10,5
Canted Reflex,Optic Accessory,SCW-10,10
Flashlight,Right Accessory,SCW-10,10
Iron Sights,Scope,SCW-10,5
MINI FLEX 1.00X,Scope,SCW-10,10
R-MR 1.00X,Scope,SCW-10,10
OSA-7 1.00x,Scope,SCW-10,10
CQ RDS 1.25X,Scope,SCW-10,10
RO-S 1.25X,Scope,SCW-10,10
2PRO 1.25X,Scope,SCW-10,10
ROX 1.50X,Scope,SCW-10,10
SU-123 1.50X,Scope,SCW-10,10
1P87 1.50X,Scope,SCW-10,10
A-P2 1.75X,Scope,SCW-10,10
RO-M 1.75x,Scope,SCW-10,10
3VZR 1.75X,Scope,SCW-10,10
CCO 2.00x,Scope,SCW-10,10
R4T 2.00X,Scope,SCW-10,10
BF-2M 2.50x,Scope,SCW-10,10
BAKER 3.00X,Scope,SCW-10,10
SDO 3.50X,Scope,SCW-10,10
PVQ-31 4.00x,Scope,SCW-10,10
LDS 4.50X,Scope,SCW-10,10
ST PRISIM 5.00X,Scope,SCW-10,10
SF-G2 5.00X,Scope,SCW-10,10
MARS-F LPVO,Scope,SCW-10,25
GRIM 1.50X,Scope,SCW-10,25
PAS-35 3.00X,Scope,SCW-10,25
5 MW Red,Top Accessory,SCW-10,10
5 MW Green,Top Accessory,SCW-10,10
50 MW Green,Top Accessory,SCW-10,20
50 MW Blue,Top Accessory,SCW-10,20
120 MW Blue,Top Accessory,SCW-10,30
6H64 Vertical,Underbarrel,SCW-10,25
Alloy Vertical,Underbarrel,SCW-10,20
Canted Stubby,Underbarrel,SCW-10,30
Classic Vertical,Underbarrel,SCW-10,35
Compact Handstop,Underbarrel,SCW-10,10
Folding Stubby,Underbarrel,SCW-10,20
Folding Vertical,Underbarrel,SCW-10,10
Low-Profile Stubby,Underbarrel,SCW-10,45
Ribbed Stubby,Underbarrel,SCW-10,30
Ribbed Vertical,Underbarrel,SCW-10,20
Slim Angled,Underbarrel,SCW-10,20
Stippled Stubby,Underbarrel,SCW-10,35
FMJ,Ammunition,SG 553R,5
Tungsten Core,Ammunition,SG 553R,5
Polymer Case,Ammunition,SG 553R,10
Hollow Point,Ammunition,SG 553R,20
Frangible,Ammunition,SG 553R,20
240MM SB,Barrel,SG 553R,10
303MM LB,Barrel,SG 553R,15
240MM Fluted,Barrel,SG 553R,20
Improved Mag Catch,Ergonomics,SG 553R,5
Match Trigger,Ergonomics,SG 553R,15
Flashlight,Left Accessory,SG 553R,10
20RND Fast Mag,Magazine,SG 553R,5
20RND Magazine,Magazine,SG 553R,5
30RND Fast Mag,Magazine,SG 553R,10
30RND Magazine,Magazine,SG 553R,5
36RND Magazine,Magazine,SG 553R,15
40RND Fast Mag,Magazine,SG 553R,30
40RND Magazine,Magazine,SG 553R,25
Compensated Brake,Muzzle,SG 553R,20
CQB Suppressor,Muzzle,SG 553R,30
Double-Port Brake,Muzzle,SG 553R,10
Flash Hider,Muzzle,SG 553R,10
Lightened Suppressor,Muzzle,SG 553R,30
Linear Comp,Muzzle,SG 553R,10
Long Suppressor,Muzzle,SG 553R,25
Single-Port Brake,Muzzle,SG 553R,5
Standard Suppressor,Muzzle,SG 553R,20
Canted Iron Sights,Optic Accessory,SG 553R,5
Canted Reflex,Optic Accessory,SG 553R,10
5 MW Red,Right Accessory,SG 553R,10
5 MW Green,Right Accessory,SG 553R,10
50 MW Green,Right Accessory,SG 553R,20
50 MW Blue,Right Accessory,SG 553R,20
120 MW Blue,Right Accessory,SG 553R,30
Iron Sights,Scope,SG 553R,5
MINI FLEX 1.00X,Scope,SG 553R,10
R-MR 1.00X,Scope,SG 553R,10
OSA-7 1.00x,Scope,SG 553R,10
CQ RDS 1.25X,Scope,SG 553R,10
RO-S 1.25X,Scope,SG 553R,10
2PRO 1.25X,Scope,SG 553R,10
ROX 1.50X,Scope,SG 553R,10
SU-123 1.50X,Scope,SG 553R,10
1P87 1.50X,Scope,SG 553R,10
A-P2 1.75X,Scope,SG 553R,10
RO-M 1.75x,Scope,SG 553R,10
3VZR 1.75X,Scope,SG 553R,10
CCO 2.00x,Scope,SG 553R,10
R4T 2.00X,Scope,SG 553R,10
BF-2M 2.50x,Scope,SG 553R,10
BAKER 3.00X,Scope,SG 553R,10
SDO 3.50X,Scope,SG 553R,10
PVQ-31 4.00x,Scope,SG 553R,10
LDS 4.50X,Scope,SG 553R,10
ST PRISIM 5.00X,Scope,SG 553R,10
SF-G2 5.00X,Scope,SG 553R,10
MARS-F LPVO,Scope,SG 553R,25
GRIM 1.50X,Scope,SG 553R,25
PAS-35 3.00X,Scope,SG 553R,25
6H64 Vertical,Underbarrel,SG 553R,25
Alloy Vertical,Underbarrel,SG 553R,20
Canted Stubby,Underbarrel,SG 553R,30
Classic Vertical,Underbarrel,SG 553R,35
Folding Stubby,Underbarrel,SG 553R,20
Folding Vertical,Underbarrel,SG 553R,10
Full Angled,Underbarrel,SG 553R,25
Low-Profile Stubby,Underbarrel,SG 553R,45
Ribbed Stubby,Underbarrel,SG 553R,30
Ribbed Vertical,Underbarrel,SG 553R,20
Slim Angled,Underbarrel,SG 553R,25
Stippled Stubby,Underbarrel,SG 553R,35
FMJ,Ammunition,SGX,5
Tungsten Core,Ammunition,SGX,5
Hollow Point,Ammunition,SGX,20
Frangible,Ammunition,SGX,20
"6"" Standard",Barrel,SGX,10
"8"" Extended",Barrel,SGX,15
"4.5"" Compact",Barrel,SGX,15
"6"" Fluted",Barrel,SGX,20
30RND Fast Mag,Magazine,SGX,10
30RND Magazine,Magazine,SGX,5
36RND Magazine,Magazine,SGX,15
41RND Magazine,Magazine,SGX,25
Compensated Brake,Muzzle,SGX,20
CQB Suppressor,Muzzle,SGX,30
Double-Port Brake,Muzzle,SGX,10
Flash Hider,Muzzle,SGX,10
Lightened Suppressor,Muzzle,SGX,30
Linear Comp,Muzzle,SGX,10
Long Suppressor,Muzzle,SGX,25
Single-Port Brake,Muzzle,SGX,5
Standard Suppressor,Muzzle,SGX,20
Canted Iron Sights,Optic Accessory,SGX,5
Flashlight,Right Accessory,SGX,10
Iron Sights,Scope,SGX,5
ROX 1.50X,Scope,SGX,10
SU-123 1.50X,Scope,SGX,10
MINI FLEX 1.00X,Scope,SGX,10
R-MR 1.00X,Scope,SGX,10
OSA-7 1.00x,Scope,SGX,10
CQ RDS 1.25X,Scope,SGX,10
RO-S 1.25X,Scope,SGX,10
2PRO 1.25X,Scope,SGX,10
1P87 1.50X,Scope,SGX,10
A-P2 1.75X,Scope,SGX,10
RO-M 1.75x,Scope,SGX,10
3VZR 1.75X,Scope,SGX,10
CCO 2.00x,Scope,SGX,10
R4T 2.00X,Scope,SGX,10
BF-2M 2.50x,Scope,SGX,10
BAKER 3.00X,Scope,SGX,10
SDO 3.50X,Scope,SGX,10
PVQ-31 4.00x,Scope,SGX,10
LDS 4.50X,Scope,SGX,10
ST PRISIM 5.00X,Scope,SGX,10
SF-G2 5.00X,Scope,SGX,10
MARS-F LPVO,Scope,SGX,25
GRIM 1.50X,Scope,SGX,25
PAS-35 3.00X,Scope,SGX,25
5 MW Red,Top Accessory,SGX,10
5 MW Green,Top Accessory,SGX,10
50 MW Green,Top Accessory,SGX,20
50 MW Blue,Top Accessory,SGX,20
120 MW Blue,Top Accessory,SGX,30
6H64 Vertical,Underbarrel,SGX,25
Alloy Vertical,Underbarrel,SGX,20
Canted Stubby,Underbarrel,SGX,30
Classic Vertical,Underbarrel,SGX,35
Compact Handstop,Underbarrel,SGX,10
Folding Stubby,Underbarrel,SGX,20
Folding Vertical,Underbarrel,SGX,10
Low-Profile Stubby,Underbarrel,SGX,45
Ribbed Stubby,Underbarrel,SGX,30
Ribbed Vertical,Underbarrel,SGX,20
Slim Angled,Underbarrel,SGX,20
Stippled Stubby,Underbarrel,SGX,35
FMJ,Ammunition,SL9,5
Tungsten Core,Ammunition,SL9,5
Hollow Point,Ammunition,SL9,20
Frangible,Ammunition,SL9,20
Synthetic Tip,Ammunition,SL9,30
"9"" Factory",Barrel,SL9,10
"9"" Heavy",Barrel,SL9,10
"11"" Extended",Barrel,SL9,15
"11"" Heavy",Barrel,SL9,10
"9"" Fluted",Barrel,SL9,20
Improved Mag Catch,Ergonomics,SL9,5
30RND Magazine,Magazine,SL9,5
60RND Magazine,Magazine,SL9,55
Compensated Brake,Muzzle,SL9,20
CQB Suppressor,Muzzle,SL9,30
Double-Port Brake,Muzzle,SL9,10
Flash Hider,Muzzle,SL9,10
Lightened Suppressor,Muzzle,SL9,30
Linear Comp,Muzzle,SL9,10
Long Suppressor,Muzzle,SL9,25
Single-Port Brake,Muzzle,SL9,5
Standard Suppressor,Muzzle,SL9,20
Canted Iron Sights,Optic Accessory,SL9,5
Canted Reflex,Optic Accessory,SL9,10
Flashlight,Right Accessory,SL9,10
5 MW Red,Right Accessory,SL9,10
5 MW Green,Right Accessory,SL9,10
50 MW Green,Right Accessory,SL9,20
50 MW Blue,Right Accessory,SL9,20
120 MW Blue,Right Accessory,SL9,30
Laser/Light Combo Red,Right Accessory,SL9,20
Laser/Light Combo Green,Right Accessory,SL9,20
Iron Sights,Scope,SL9,5
MINI FLEX 1.00X,Scope,SL9,10
R-MR 1.00X,Scope,SL9,10
OSA-7 1.00x,Scope,SL9,10
CQ RDS 1.25X,Scope,SL9,10
RO-S 1.25X,Scope,SL9,10
2PRO 1.25X,Scope,SL9,10
ROX 1.50X,Scope,SL9,10
SU-123 1.50X,Scope,SL9,10
1P87 1.50X,Scope,SL9,10
A-P2 1.75X,Scope,SL9,10
RO-M 1.75x,Scope,SL9,10
3VZR 1.75X,Scope,SL9,10
CCO 2.00x,Scope,SL9,10
R4T 2.00X,Scope,SL9,10
BF-2M 2.50x,Scope,SL9,10
BAKER 3.00X,Scope,SL9,10
SDO 3.50X,Scope,SL9,10
PVQ-31 4.00x,Scope,SL9,10
LDS 4.50X,Scope,SL9,10
ST PRISIM 5.00X,Scope,SL9,10
SF-G2 5.00X,Scope,SL9,10
MARS-F LPVO,Scope,SL9,25
GRIM 1.50X,Scope,SL9,25
PAS-35 3.00X,Scope,SL9,25
6H64 Vertical,Underbarrel,SL9,25
Alloy Vertical,Underbarrel,SL9,20
Canted Stubby,Underbarrel,SL9,30
Classic Vertical,Underbarrel,SL9,35
Compact Handstop,Underbarrel,SL9,10
Factory Angled,Underbarrel,SL9,20
Folding Stubby,Underbarrel,SL9,20
Folding Vertical,Underbarrel,SL9,10
Low-Profile Stubby,Underbarrel,SL9,45
Ribbed Stubby,Underbarrel,SL9,30
Ribbed Vertical,Underbarrel,SL9,20
Stippled Stubby,Underbarrel,SL9,35
FMJ,Ammunition,SOR-556 MK2,5
Tungsten Core,Ammunition,SOR-556 MK2,5
Polymer Case,Ammunition,SOR-556 MK2,10
Hollow Point,Ammunition,SOR-556 MK2,20
Frangible,Ammunition,SOR-556 MK2,20
Synthetic Tip,Ammunition,SOR-556 MK2,30
"16"" US",Barrel,SOR-556 MK2,10
IAR Heavy,Barrel,SOR-556 MK2,10
